titre,nom,date,dimensions,matériau,lieu,image
"Overflow II, 2007",Overflow II,2007,223 x 245 x 255 cm,Stainless steel,"Installation view at La Riva de Acheronte, Im Dialog IX. Stadtkirche, Darmstadt, Germany 2008. Private Collection, Netherlands",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/27-D-1501_RJ.jpg
"Nomade, 2007",Nomade,2007,800 x 550 x 530 cm,Painted stainless steel,"Installation view at Bastion Saint-Jaume, Musée Picasso, Antibes, France 2007. Collection Pappajohn Sculpture Park, Des Moines Art Center, Iowa, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/39-IMG_0876.jpg
"Nomade, 2007",Nomade,2007,800 x 550 x 530 cm,Painted stainless steel,"Installation view at Ocean Drive, Art Basel-Miami Beach, Florida, USA 2007. Collection Pappajohn Sculpture Park, Des Moines Art Center, Iowa, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/40-1245NomadeJaume.jpg
"Twentynine Palms, 2007",Twentynine Palms,2007,29 elements of variable dimensions,Stainless steel,"Installation view at IVAM-Institut Valencià d'Art Modern de Valencia, Spain 2007. Collection Umeå University Library, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/19.jpg
"Where Are You? I, II and III, 2007","Where Are You? I, II and III",2007,130 x 152 x 210 cm each,"Polyester resin, stainless steel and light","Installation view at IVAM-Valencia, Spain 2007. Collection Clarion Trondheim Hotel, Norway",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/34-Where-are-you-i-II-III.jpg
"Sho, 2007",Sho,2007,400 x 400 x 300 cm,Painted stainless steel,"Collection Meadows Museum, Dallas, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/24-M820080423-1947-000558.jpg
"Overflow II, III and IV, 2006","Overflow II, III and IV",2006,223 x 245 x 255 cm each,Stainless steel,"Installation view at MAMAC-Musée d'Art Moderne et d'Art Contemporain, Nice, France 2007",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/38-NICE1133.jpg
"Doors of Jerusalem I, II and III, 2006","Doors of Jerusalem I, II and III",2006,120 x 158 x 205 cm each,"Polyester resin, stainless steel and light","Installation view at MAMAC-Nice, France 2007. Collection North Carolina Museum of Art, Raleigh, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/37-NICE1118.jpg
"Winter Kept us Warm III, 1999",Winter Kept us Warm III,1999,400 x 200 x 200 cm,"Glass, stainless steel and light","Installation view at Beyond Limits. Sotheby's at Chatsworth, Derbyshire, UK 2007",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/53-694D07010.jpg
"Where are You?, 2006",Where are You?,2006,"2,000 cm diameter x 50 cm depth",Snow and light,"The Snow Show, in collaboration with Norman Foster for the 20th Winter Olympic Games, Sestriere, Turin, Italy, 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/58-The%20Snow%20Show.jpg
"Where are You?, 2006",Where are You?,2006,"2,000 cm diameter x 50 cm depth",Snow and light,"The Snow Show, in collaboration with Norman Foster for the 20th Winter Olympic Games, Sestriere, Turin, Italy, 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/57-The%20Snow%20Show.jpg
"Jerusalem, 2006",Jerusalem,2006,130 cm diameter each,"Bronze, rope, wood and wool, 9 pairs of gongs","Installation view at Museu Es Baluard, Palma de Mallorca, Spain 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Jerusalem8.jpg
"Jerusalem, 2006",Jerusalem,2006,130 cm diameter each,"Bronze, rope, wood and wool, 9 pairs of gongs","Installation view at Museu Es Baluard, Palma de Mallorca, Spain 2006",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/Jerusalem4.jpg
"Primary Thoughts, 2001",Primary Thoughts,2001,290 x 264 x 264 cm,"Stainless steel, psychiatric couch, light and sound","Installation view at Is Art Something in Between?. Kunsthalle Mannheim, Mannheim, Germany 2006. Collection Museo Würth La Rioja, Spain",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/41-Mannheim.jpg
"I, You, She or He, 2006","I, You, She or He",2006,288 x 197 x 172 cm / 280 x 266 x 240 cm / 280 x 266 x 195 cm,Stainless steel and stone,"Collection Frederik Meijer Gardens and Sculpture Park, Grand Rapids, Michigan, USA 2008",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/29-I-you-she-or-he-Hebert2.jpg
"Song of Songs, 2005",Song of Songs,2005,variable dimensions,Iron,"Installation view at CAC-Centro de Arte Contemporáneo, Málaga, Spain 2005",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/GK4R7168.jpg
"Song of Songs III and IV, 2004",Song of Songs III and IV,2004,220 x 90 x 81 cm each,"Glass, stainless steel and light","Installation view at CAC-Málaga, Spain 2005. Collection Nasher Sculpture Center, Dallas, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/42-GK4R7154.jpg
