titre,description,lieu,image
"House of Knowledge, 2008"," Painted stainless steel, 800 x 550 x 530 cm","Installation view at Beyond Limits. Sotheby's at Chatsworth, Derbyshire, UK 2008. Collection Textile Fashion Center, Borås, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/21-Jaume%20Plensa_5.jpg
"House of Knowledge, 2008","Stainless steel, 800 x 550 x 530 cm","Installation view at Kiev Sculpture Project, Kiev, Ukraine 2012. Collection Textile Fashion Center, Borås, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/57-hok-kiev.jpg
"Twentynine Palms, 2007","Stainless steel, 29 elements of variable dimensions","Collection Umeå University Library, Umeå, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/69-twentynine-palms_umea.jpg
"Twentynine Palms, 2007","Stainless steel, variable dimensions","Installation view at Umedalen Skulptur, Focus on Jaume Plensa. Umeå, Sweden 2012. Collection Umeå University Library, Sweden",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/51-twentynine-palms-umea.jpg
"The Heart of Trees III, 2007"," Bronze, 7 elements of variable x 66 x 99 cm","Installation view at Shanghai Biennale 2012, Shanghai, China",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/16-IMG_3258.JPG
"Humming, 2011"," Marble and lead, 250 x 94 x 111 cm","Collection DeCordova Sculpture Park &amp; Museum, Massachusetts, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/18-DSC05386.jpg
"Awilda and Chloe, 2011"," Marble, 300 x 82 x 104 cm / 300 x 84 x 108 cm","Grand Hyatt New York, New York, USA",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/15-IMG_5122.jpg
"La Llarga Nit (Blind), 2010","Polyester resin, stainless steel and light, 1200 x 148 x 205 cm","Installation view at Yorkshire Sculpture Park, Wakefield, UK 2011",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/LLN%20side%20pink.jpg
"The Heart of Trees, 2007","Bronze and tree, 7 elements of variable x 66 x 99 cm","Installation view at Yorkshire Sculpture Park, Wakefield, UK 2011",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/IMG_3993bis.jpg
"Soul XII, 2010","Stainless steel and stone, 290 x 190 x 225 cm","Private Collection, Cabo San Lucas, México ",https://jaumeplensa.com/gestorPlensa/images/entradas/entrada-40/JW_LosCabos_2015_WireSculpture%2014.jpg
